"openrice_restaurants","openrice_url"
"Cosmos@RedMR","https://www.openrice.com/en/hongkong/r-cosmos-redmr-causeway-bay-western-r649311"
"Fivelements Habitat - Sakti Elixir","https://www.openrice.com/en/hongkong/r-fivelements-habitat-sakti-elixir-causeway-bay-western-juice-r645597"
"KURA 藏","https://www.openrice.com/en/hongkong/r-kura-causeway-bay-japanese-omakase-r648110"
"Burgeroom","https://www.openrice.com/en/hongkong/r-burgeroom-causeway-bay-american-hamburger-r189507"
"Love Cafe 心之食堂","https://www.openrice.com/en/hongkong/r-love-cafe-causeway-bay-japanese-sushi-sashimi-r511427"
"Shika Teppan-Yaki 鉄人旨花","https://www.openrice.com/en/hongkong/r-shika-teppan-yaki-causeway-bay-japanese-omakase-r183611"
"Bingo & Cook","https://www.openrice.com/en/hongkong/r-bingo-cook-causeway-bay-korean-korean-fried-chicken-r465359"
"Hogology 炊豕店","https://www.openrice.com/en/hongkong/r-hogology-causeway-bay-hong-kong-style-r462369"
"Dodam Chicken","https://www.openrice.com/en/hongkong/r-dodam-chicken-causeway-bay-korean-korean-fried-chicken-r516304"
"Seoulmate Cafe","https://www.openrice.com/en/hongkong/r-seoulmate-cafe-causeway-bay-international-korean-fried-chicken-r528101"
"Sodam Chicken","https://www.openrice.com/en/hongkong/r-sodam-chicken-causeway-bay-korean-korean-fried-chicken-r477924"
"Toretore Hamayaki 漁獲浜燒","https://www.openrice.com/en/hongkong/r-toretore-hamayaki-causeway-bay-japanese-r454887"
"Mad for Garlic","https://www.openrice.com/en/hongkong/r-mad-for-garlic-causeway-bay-korean-pizza-r494914"
"Little Vegas","https://www.openrice.com/en/hongkong/r-little-vegas-causeway-bay-western-all-day-breakfast-r186385"
"Mamaday","https://www.openrice.com/en/hongkong/r-mamaday-causeway-bay-international-all-day-breakfast-r573257"
"FireBird","https://www.openrice.com/en/hongkong/r-firebird-causeway-bay-japanese-skewer-r487196"
"The Grill Room","https://www.openrice.com/en/hongkong/r-the-grill-room-causeway-bay-western-r446983"
"HeSheEat","https://www.openrice.com/en/hongkong/r-hesheeat-causeway-bay-western-all-day-breakfast-r193159"